Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
"$84,318 /yr (est.)",84318.0,Records Management Training Specialist,10,1,1,Evoke Research And Cons, DC,2.8,0,18,201 to 500 Employees,2005,Company - Private,Business Consulting,Management & Consulting,$25 to $100 million (USD),2.7,3.0,3.0,2.9,3.1,2023-06-03 21:58:24.347064,yr
"$63,950 /yr (est.)",63950.0,Training Specialist,10,1,1,EnergySolutions, TN,3.6,0,-1,-1,-1,-1,-1,-1,-1,3.5,3.6,3.5,3.3,3.4,2023-06-03 21:58:29.991538,yr
"$35,556 /yr (est.)",35556.0,Training Specialist I,1,1,-1,Mississippi State Personnel Board, MS,3.7,0,34,10000+ Employees,1989,Government,State & Regional Agencies,Government & Public Administration,Unknown / Non-Applicable,3.1,3.1,3.2,3.0,3.5,2023-06-03 21:58:33.016752,yr
"$3,999 /mo (est.)",47988.0,Training/Development Specialist 1-3,0,1,1,State of Louisiana,Texas,3.1,0,211,10000+ Employees,1812,Government,National Agencies,Government & Public Administration,Unknown / Non-Applicable,2.9,2.9,2.8,2.7,3.3,2023-06-03 21:58:38.184144,mo
$37.27 /hr (est.),77521.6,Regional Patient Access Training Specialist (Remote),3,1,1,Trinity Health, MI,3.4,0,47,10000+ Employees,1976,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$10+ billion (USD),3.3,3.3,3.6,3.1,3.5,2023-06-03 21:58:40.555384,hr
"$152,222 /yr (est.)",152222.0,Training Specialist (Curriculum Development),5,1,1,"US Offices, Boards and Divisions", DC,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-03 21:58:43.245751,yr
"$96,544 /yr (est.)",96544.0,REGULATORY PROGRAM SPECIALIST (REMOTE),0,2,1,OCHIN,Remote,3.8,1,23,501 to 1000 Employees,2000,Nonprofit Organization,Information Technology Support Services,Information Technology,$25 to $100 million (USD),3.6,4.1,4.0,3.3,3.4,2023-06-03 21:58:49.082494,yr
"$62,000 /yr (est.)",62000.0,Talent Development Specialist,3,1,1,OneStream,Remote,4.1,1,11,1001 to 5000 Employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,3.9,4.1,4.1,4.0,4.1,2023-06-03 21:58:51.232147,yr
"$52,500 /yr (est.)",52500.0,Learning & Development Operations Specialist,3,1,1,Galasso Learning Solutions,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-03 21:59:01.258214,yr
"$81,069 /yr (est.)",81069.0,Training & Development Specialist (Hybrid-Anaheim Hills),0,1,1,Wescom Credit Union, CA,4.3,0,89,501 to 1000 Employees,1934,Nonprofit Organization,Banking & Lending,Financial Services,$25 to $100 million (USD),4.0,4.3,4.5,4.0,3.4,2023-06-03 21:59:09.865911,yr
"$77,500 /yr (est.)",77500.0,Application Training Specialist - REMOTE,0,1,1,Sectra, CT,4.8,0,45,501 to 1000 Employees,1978,Company - Public,Computer Hardware Development,Information Technology,$500 million to $1 billion (USD),4.5,3.9,4.8,4.4,4.5,2023-06-03 21:59:12.327787,yr
$65.00 /hr (est.),135200.0,Training Specialist,3,1,1,"Stefanini, Inc", NJ,3.8,0,36,10000+ Employees,1987,Subsidiary or Business Segment,Information Technology Support Services,Information Technology,$1 to $5 billion (USD),3.5,3.3,3.7,3.5,3.7,2023-06-03 21:59:22.322338,hr
"$81,162 /yr (est.)",81162.0,Training Specialist,4,1,1,"Bechtel Plant Machinery, Inc.", PA,3.6,0,67,1001 to 5000 Employees,1956,Company - Private,Aerospace & Defense,Aerospace & Defense,$25 to $100 million (USD),3.0,3.7,3.6,3.1,3.9,2023-06-03 21:59:28.116782,yr
"$57,500 /yr (est.)",57500.0,IT Documentation & Training Specialist,0,1,0,Florida Polytechnic University, FL,4.0,0,9,201 to 500 Employees,2014,College / University,Colleges & Universities,Education,$1 to $5 million (USD),3.6,3.2,3.8,3.6,3.8,2023-06-03 21:59:30.518027,yr
"$52,734 /yr (est.)",52734.0,Training and Communication Specialist,5,1,0,DHL, OH,3.9,0,54,10000+ Employees,1969,Company - Private,Shipping & Trucking,Transportation & Logistics,$10+ billion (USD),3.7,3.6,3.8,3.4,3.5,2023-06-03 21:59:33.115844,yr
"$56,901 /yr (est.)",56901.0,Training & Development Specialist,5,1,1,EVERSANA, OH,3.4,0,5,5001 to 10000 Employees,2018,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,Unknown / Non-Applicable,3.3,3.1,3.6,3.2,3.4,2023-06-03 21:59:35.515260,yr
"$60,609 /yr (est.)",60609.0,Onboarding & Training Specialist,0,1,1,CityVet, TX,4.5,0,24,501 to 1000 Employees,1999,Company - Private,Hospitals & Health Clinics,Healthcare,$100 to $500 million (USD),4.3,4.3,4.6,4.5,4.4,2023-06-03 21:59:38.276291,yr
"$47,221 /yr (est.)",47221.0,Remote Training Specialist,0,2,0,"Hotwire Communications, LTD", FL,3.0,0,23,1001 to 5000 Employees,2000,Company - Private,"Cable, Internet & Telephone Providers",Telecommunications,$25 to $100 million (USD),3.0,2.8,3.0,2.7,3.2,2023-06-03 21:59:44.263519,yr
$40.20 /hr (est.),83616.0,User Support and Training Specialist,0,1,1,College of the Desert, CA,4.3,0,-1,-1,-1,-1,-1,-1,-1,3.6,4.1,4.1,3.8,4.3,2023-06-03 21:59:46.655340,hr
"$70,523 /yr (est.)",70523.0,Training Development Specialist – Training,3,1,1,Kelsey-Seybold Clinic, TX,3.7,0,74,1001 to 5000 Employees,1949,Private Practice / Firm,Health Care Services & Hospitals,Healthcare,$100 to $500 million (USD),3.7,3.7,3.5,3.2,3.6,2023-06-03 21:59:50.298773,yr
"$67,000 /yr (est.)",67000.0,Training Specialist,2,1,1,Chicago Public Schools, IL,3.3,0,140,10000+ Employees,1883,School / School District,Primary & Secondary Schools,Education,Unknown / Non-Applicable,3.6,3.7,3.1,2.7,3.0,2023-06-03 21:59:52.795754,yr
"$73,356 /yr (est.)",73356.0,Training Specialist (E5485),7,1,1,IEEE Corporate, NJ,4.0,0,60,1001 to 5000 Employees,1963,Nonprofit Organization,Grantmaking & Charitable Foundations,Nonprofit & NGO,$100 to $500 million (USD),3.3,3.8,3.7,3.5,3.8,2023-06-03 21:59:55.492276,yr
"$66,750 /yr (est.)",66750.0,Training & Development Specialist,2,1,0,AUTOPAY, CO,3.1,0,16,501 to 1000 Employees,2007,Company - Private,Banking & Lending,Financial Services,Unknown / Non-Applicable,3.0,3.7,3.0,3.1,2.6,2023-06-03 21:59:58.018313,yr
"$54,864 /yr (est.)",54864.0,Training Development Specialist,0,1,0,Autokiniton, TN,3.1,0,-1,-1,-1,-1,-1,-1,-1,3.0,3.3,2.7,2.6,2.7,2023-06-03 22:00:00.843792,yr
"$60,000 /yr (est.)",60000.0,Training & Instructional Design Specialist,5,1,0,The Henry Ford, MI,3.9,0,-1,-1,-1,-1,-1,-1,-1,3.3,3.2,4.1,3.4,4.1,2023-06-03 22:00:04.484314,yr
$43.75 /hr (est.),91000.0,Training Manager – Fully Remote,0,2,1,United People Global,Remote,4.0,1,-1,-1,-1,-1,-1,-1,-1,3.8,3.1,3.8,3.7,3.8,2023-06-03 22:00:11.543738,hr
"$65,000 /yr (est.)",65000.0,Training Specialist,4,1,-1,Member Driven Technologies, MI,4.3,0,20,51 to 200 Employees,2003,Company - Private,Investment & Asset Management,Financial Services,Unknown / Non-Applicable,3.7,4.4,4.3,3.9,4.3,2023-06-03 22:00:15.037586,yr
"$58,805 /yr (est.)",58805.0,Training Specialist,3,1,0,Medline Industries Inc, IL,3.6,0,57,10000+ Employees,1966,Company - Private,Health Care Products Manufacturing,Manufacturing,$10+ billion (USD),3.6,3.5,3.5,3.3,3.3,2023-06-03 22:00:18.067717,yr
"$85,000 /yr (est.)",85000.0,Training and Development Specialist (Windows OS) (DPSS) (Remote),3,2,1,DAWSON,Remote,3.6,1,29,1001 to 5000 Employees,1994,Company - Private,Business Consulting,Management & Consulting,Unknown / Non-Applicable,3.5,3.5,3.8,3.4,4.2,2023-06-03 22:00:20.611880,yr
$13.00 /hr (est.),27040.0,Offsite Invoice Payment Specialist-Screener-Part-Time/Remote After Training/$13 Hour,0,2,0,"Cass Information Systems, Inc.", MO,3.6,0,117,1001 to 5000 Employees,1906,Company - Public,Financial Transaction Processing,Financial Services,$100 to $500 million (USD),3.3,3.1,3.5,3.3,3.8,2023-06-03 22:00:23.256347,hr
"$71,703 /yr (est.)",71703.0,Customer Training Specialist,0,1,1,Vendr, MA,4.3,0,5,201 to 500 Employees,2018,Company - Private,Enterprise Software & Network Solutions,Information Technology,$25 to $100 million (USD),4.4,4.2,4.5,4.2,4.1,2023-06-03 22:00:25.725051,yr
"$55,000 /yr (est.)",55000.0,Family Learning Training Specialist - K-12,5,2,1,National Center for Families Learning,Remote,2.8,1,-1,-1,-1,-1,-1,-1,-1,1.8,3.4,3.8,2.2,2.2,2023-06-03 22:00:28.779230,yr
